Generic Name,Product,Company,ndc11,ndc_description,pricing_unit,2025,2024,2023,2022,Technology,Mechanism of Action,Corrected EphMRA Code
infliximab-dyyb,inflectra,pfizer laboratories div pfizer inc,00069080901,INFLECTRA 100 MG VIAL,EA,491.54571,504.52167,,,Monoclonal antibody,Interleukin-12 (IL-12) antibody; Interleukin-23 (IL-23) antibody; Tumour necrosis factor alpha (TNFa) antibody; Tumour necrosis factor alpha (TNFa) inhibitor; Tumour necrosis factor alpha antagonist,L4B (Anti-TNF Products)
ixekizumab,taltz,eli lilly and company,00002144509,TALTZ 80 MG/ML AUTOINJECTOR (3-PACK),ML,7020.1327,6685.84067,,,Monoclonal antibody,Interleukin-17 (IL-17) antagonist,L4C (Interleukin Inhibitors)
ixekizumab,taltz,eli lilly and company,00002144511,TALTZ 80 MG/ML AUTOINJECTOR,ML,6997.66167,6681.55068,,,Monoclonal antibody,Interleukin-17 (IL-17) antagonist,L4C (Interleukin Inhibitors)
ixekizumab,taltz,eli lilly and company,00002144527,TALTZ 80 MG/ML AUTOINJECTOR (2-PACK),ML,7081.78167,6673.48182,,,Monoclonal antibody,Interleukin-17 (IL-17) antagonist,L4C (Interleukin Inhibitors)
ixekizumab,taltz,eli lilly and company,00002772411,TALTZ 80 MG/ML SYRINGE,ML,7049.58844,6713.89375,,,Monoclonal antibody,Interleukin-17 (IL-17) antagonist,L4C (Interleukin Inhibitors)
lebrikizumab,ebglyss,eli lilly and company,00002777211,EBGLYSS 250 MG/2 ML PEN,ML,1710.291,,,,Monoclonal antibody,Interleukin-13 (IL-13) antagonist,L4X (Other Immunosuppressants)
lebrikizumab,ebglyss,eli lilly and company,00002777211,EBGLYSS 250 MG/2 ML PEN,ML,1710.291,,,,Monoclonal antibody,Interleukin-13 (IL-13) antagonist,R7X (All Other Respiratory System Products)
lebrikizumab-lbkz,ebglyss,eli lilly and company,00002777211,EBGLYSS 250 MG/2 ML PEN,ML,1710.291,,,,Monoclonal antibody,Interleukin-13 (IL-13) antagonist,L4X (Other Immunosuppressants)
lebrikizumab-lbkz,ebglyss,eli lilly and company,00002777211,EBGLYSS 250 MG/2 ML PEN,ML,1710.291,,,,Monoclonal antibody,Interleukin-13 (IL-13) antagonist,R7X (All Other Respiratory System Products)
ofatumumab,kesimpta,novartis pharmaceuticals corporation,00078100768,KESIMPTA 20 MG/0.4 ML PEN,ML,22647.51857,21122.43409,,,Recombinant antibody,B-lymphocyte antigen CD20 inhibitor,"L1G1 (Monoclonal Antibody Antineoplastics, CD20)"
risankizumab,skyrizi,abbvie inc.,00074105001,SKYRIZI 150 MG/ML SYRINGE,ML,21542.13294,20284.34353,19262.39616,17835.552,Recombinant antibody,Interleukin-23 (IL-23) antagonist,L4C (Interleukin Inhibitors)
risankizumab,skyrizi,abbvie inc.,00074107001,SKYRIZI 360 MG/2.4 ML ON-BODY,ML,9088.725,8515.535,,,Recombinant antibody,Interleukin-23 (IL-23) antagonist,L4C (Interleukin Inhibitors)
risankizumab,skyrizi,abbvie inc.,00074210001,SKYRIZI 150 MG/ML PEN,ML,21415.66745,20211.7829,19053.77256,17642.382,Recombinant antibody,Interleukin-23 (IL-23) antagonist,L4C (Interleukin Inhibitors)
risankizumab-rzaa,skyrizi,abbvie inc.,00074105001,SKYRIZI 150 MG/ML SYRINGE,ML,21542.13294,20284.34353,19262.39616,17835.552,Recombinant antibody,Interleukin-23 (IL-23) antagonist,L4C (Interleukin Inhibitors)
risankizumab-rzaa,skyrizi,abbvie inc.,00074107001,SKYRIZI 360 MG/2.4 ML ON-BODY,ML,9088.725,8515.535,,,Recombinant antibody,Interleukin-23 (IL-23) antagonist,L4C (Interleukin Inhibitors)
risankizumab-rzaa,skyrizi,abbvie inc.,00074210001,SKYRIZI 150 MG/ML PEN,ML,21415.66745,20211.7829,19053.77256,17642.382,Recombinant antibody,Interleukin-23 (IL-23) antagonist,L4C (Interleukin Inhibitors)
sarilumab,kevzara,sanofi-aventis u.s. llc,00024591001,KEVZARA 200 MG/1.14 ML SYRINGE,ML,1949.5114,,,,Monoclonal antibody,Interleukin-6 (IL-6) receptor antagonist; Interleukin-6 (IL-6) receptor antibody,L4C (Interleukin Inhibitors)
sarilumab,kevzara,sanofi-aventis u.s. llc,00024591001,KEVZARA 200 MG/1.14 ML SYRINGE,ML,1949.5114,,,,Monoclonal antibody,Interleukin-6 (IL-6) receptor antagonist; Interleukin-6 (IL-6) receptor antibody,M1C (Specific Anti-Rheumatic Agents)
sarilumab,kevzara,sanofi-aventis u.s. llc,00024592201,KEVZARA 200 MG/1.14 ML PEN INJ,ML,1962.09436,1852.54066,,,Monoclonal antibody,Interleukin-6 (IL-6) receptor antagonist; Interleukin-6 (IL-6) receptor antibody,L4C (Interleukin Inhibitors)
sarilumab,kevzara,sanofi-aventis u.s. llc,00024592201,KEVZARA 200 MG/1.14 ML PEN INJ,ML,1962.09436,1852.54066,,,Monoclonal antibody,Interleukin-6 (IL-6) receptor antagonist; Interleukin-6 (IL-6) receptor antibody,M1C (Specific Anti-Rheumatic Agents)
secukinumab,secukinumab,novartis pharmaceuticals corporation,00078063941,COSENTYX SENSOREADY 300 MG DOSE/2 PENS (150 MG/PEN),ML,3692.31105,3593.029,3353.07093,3133.71115,Recombinant antibody,Interleukin-17A (IL-17A) antagonist,L4C (Interleukin Inhibitors)
secukinumab,secukinumab,novartis pharmaceuticals corporation,00078063968,COSENTYX SENSOREADY 150 MG/ML PEN,ML,7358.90476,7208.96625,,,Recombinant antibody,Interleukin-17A (IL-17A) antagonist,L4C (Interleukin Inhibitors)
secukinumab,secukinumab,novartis pharmaceuticals corporation,00078063997,COSENTYX 150 MG/ML SYRINGE,ML,7404.96583,7206.7,,,Recombinant antibody,Interleukin-17A (IL-17A) antagonist,L4C (Interleukin Inhibitors)
secukinumab,secukinumab,novartis pharmaceuticals corporation,00078063998,COSENTYX (150 MG/ML) 300 MG DOSE-2 SYRINGES,ML,3706.20933,3600.89647,,,Recombinant antibody,Interleukin-17A (IL-17A) antagonist,L4C (Interleukin Inhibitors)
secukinumab,secukinumab,novartis pharmaceuticals corporation,00078107068,COSENTYX UNOREADY 300 MG/2 ML PEN (1 PEN),ML,3836.91976,3605.62583,,,Recombinant antibody,Interleukin-17A (IL-17A) antagonist,L4C (Interleukin Inhibitors)
tocilizumab,actemra sc,"genentech, inc.",50242014301,ACTEMRA ACTPEN 162 MG/0.9 ML,ML,1279.05778,,,,Recombinant antibody,Interleukin-6 (IL-6) receptor antagonist; Interleukin-6 (IL-6) receptor antibody,M1C (Specific Anti-Rheumatic Agents)
ustekinumab,stelara,"janssen biotech, inc.",57894006003,STELARA 45 MG/0.5 ML SYRINGE,ML,28420.61714,26794.63143,25519.956,,Monoclonal antibody,Interleukin-12 (IL-12) antagonist; Interleukin-12 (IL-12) antibody; Interleukin-23 (IL-23) antagonist; Interleukin-23 (IL-23) antibody,L4C (Interleukin Inhibitors)
ustekinumab,stelara,"janssen biotech, inc.",57894006103,STELARA 90 MG/ML SYRINGE,ML,28375.75688,26968.37967,25583.01778,24599.05556,Monoclonal antibody,Interleukin-12 (IL-12) antagonist; Interleukin-12 (IL-12) antibody; Interleukin-23 (IL-23) antagonist; Interleukin-23 (IL-23) antibody,L4C (Interleukin Inhibitors)
