input_name,brand_name,labeler_name,ndc11,ndc_description,pricing_unit,nadac_per_unit_2025,nadac_per_unit_2024,nadac_per_unit_2023,nadac_per_unit_2022
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606004001,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606004002,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606004003,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606004004,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606004005,,,,,,
adalimumab,Adalimumab,"CELLTRION USA, Inc.",72606004006,,,,,,
adalimumab,HYRIMOZ,Sandoz Inc,61314047664,,,,,,
adalimumab,HYRIMOZ,Sandoz Inc,61314045420,,,,,,
adalimumab,HYRIMOZ,Sandoz Inc,61314045436,,,,,,
adalimumab,HYRIMOZ,Sandoz Inc,61314045468,,,,,,
adalimumab,HYRIMOZ,Sandoz Inc,61314047320,,,,,,
adalimumab,HYRIMOZ,Sandoz Inc,61314047364,,,,,,
adalimumab,HYRIMOZ,Sandoz Inc,61314047392,,,,,,
adalimumab,HYRIMOZ,Sandoz Inc,61314053164,,,,,,
adalimumab,HYRIMOZ,Sandoz Inc,61314050964,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606004601,,,,,,
adalimumab,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597056520,,,,,,
adalimumab,HYRIMOZ,Sandoz Inc,61314051736,,,,,,
adalimumab,Simlandi,"Teva Pharmaceuticals USA, Inc.",51759027417,,,,,,
adalimumab,AMJEVITA,Amgen USA Inc.,72511047902,,,,,,
adalimumab,AMJEVITA,Amgen USA Inc.,72511039901,,,,,,
adalimumab,AMJEVITA,Amgen USA Inc.,72511040001,,,,,,
adalimumab,AMJEVITA,Amgen USA Inc.,72511040002,,,,,,
adalimumab,Yuflyma,"CELLTRION USA, Inc.",72606006301,,,,,,
adalimumab,Adalimumab-ryvk,"Teva Pharmaceuticals USA, Inc.",51759036117,,,,,,
adalimumab,AMJEVITA,Amgen USA Inc.,72511048102,,,,,,
adalimumab,Adalimumab-adbm,"Boehringer Ingelheim Pharmaceuticals, Inc.",00597057550,ADALIMUMAB-ADBM(CF) PEN 40 MG/0.4 ML,EA,636.03667,,,
adalimumab,AMJEVITA,Amgen USA Inc.,72511048201,,,,,,
adalimumab,AMJEVITA,Amgen USA Inc.,72511048202,,,,,,
adalimumab,Adalimumab-ryvk,"Teva Pharmaceuticals USA, Inc.",51759036002,,,,,,
adalimumab,ABRILADA,Pfizer Laboratories Div Pfizer Inc,00025032501,,,,,,
adalimumab,ABRILADA,Pfizer Laboratories Div Pfizer Inc,00025032502,,,,,,
adalimumab,Simlandi,"Teva Pharmaceuticals USA, Inc.",51759041222,,,,,,
adalimumab,Simlandi,"Teva Pharmaceuticals USA, Inc.",51759038622,,,,,,
adalimumab,Simlandi,"Teva Pharmaceuticals USA, Inc.",51759040202,SIMLANDI(CF) 40 MG/0.4 ML AUTOINJECTOR,EA,486.61806,,,
adalimumab,Simlandi,"Teva Pharmaceuticals USA, Inc.",51759040217,SIMLANDI(CF) 40 MG/0.4 ML AUTOINJECTOR,EA,486.61806,,,
adalimumab,,"Catalent Indiana, LLC",61434002000,,,,,,
adalimumab,Humira,AbbVie Inc.,00074061602,HUMIRA(CF) 20 MG/0.2 ML SYRINGE,EA,3369.58300,3348.57750,,
adalimumab,Humira,AbbVie Inc.,00074061671,,,,,,
adalimumab,YUSIMRY,Meitheal Pharmaceuticals Inc.,71288081581,YUSIMRY(CF) 40 MG/0.8 ML PEN,ML,604.15250,,,
adalimumab,YUSIMRY,Meitheal Pharmaceuticals Inc.,71288081681,,,,,,
